"","date","dc","wday","month","year","week","summer"
"326",2016-11-21,0,"Mon","11",2016,"47","winter"
"327",2016-11-22,0,"Tue","11",2016,"47","winter"
"328",2016-11-23,0,"Wed","11",2016,"47","winter"
"329",2016-11-24,0,"Thu","11",2016,"47","winter"
"330",2016-11-25,0,"Fri","11",2016,"48","winter"
"331",2016-11-26,0,"Sat","11",2016,"48","winter"
"332",2016-11-27,0,"Sun","11",2016,"48","winter"
"333",2016-11-28,0,"Mon","11",2016,"48","winter"
"334",2016-11-29,0,"Tue","11",2016,"48","winter"
"335",2016-11-30,0,"Wed","11",2016,"48","winter"
"336",2016-12-01,1,"Thu","12",2016,"48","winter"
"337",2016-12-02,1,"Fri","12",2016,"49","winter"
"338",2016-12-03,0,"Sat","12",2016,"49","winter"
"339",2016-12-04,0,"Sun","12",2016,"49","winter"
"340",2016-12-05,0,"Mon","12",2016,"49","winter"
"341",2016-12-06,0,"Tue","12",2016,"49","winter"
"342",2016-12-07,1,"Wed","12",2016,"49","winter"
"343",2016-12-08,1,"Thu","12",2016,"49","winter"
"344",2016-12-09,0,"Fri","12",2016,"50","winter"
"345",2016-12-10,0,"Sat","12",2016,"50","winter"
"346",2016-12-11,0,"Sun","12",2016,"50","winter"
"347",2016-12-12,0,"Mon","12",2016,"50","winter"
"348",2016-12-13,2,"Tue","12",2016,"50","winter"
"349",2016-12-14,0,"Wed","12",2016,"50","winter"
"350",2016-12-15,0,"Thu","12",2016,"50","winter"
"351",2016-12-16,1,"Fri","12",2016,"51","winter"
"352",2016-12-17,1,"Sat","12",2016,"51","winter"
"353",2016-12-18,0,"Sun","12",2016,"51","winter"
"354",2016-12-19,0,"Mon","12",2016,"51","winter"
"355",2016-12-20,0,"Tue","12",2016,"51","winter"
"356",2016-12-21,0,"Wed","12",2016,"51","winter"
"357",2016-12-22,0,"Thu","12",2016,"51","winter"
"358",2016-12-23,0,"Fri","12",2016,"52","winter"
"359",2016-12-24,0,"Sat","12",2016,"52","winter"
"360",2016-12-25,0,"Sun","12",2016,"52","winter"
"361",2016-12-26,0,"Mon","12",2016,"52","winter"
"362",2016-12-27,0,"Tue","12",2016,"52","winter"
"363",2016-12-28,0,"Wed","12",2016,"52","winter"
"364",2016-12-29,4,"Thu","12",2016,"52","winter"
"365",2016-12-30,1,"Fri","12",2016,"53","winter"
"366",2016-12-31,0,"Sat","12",2016,"53","winter"
"367",2017-01-01,0,"Sun","1",2017,"1","winter"
"368",2017-01-02,0,"Mon","1",2017,"1","winter"
"369",2017-01-03,0,"Tue","1",2017,"1","winter"
"370",2017-01-04,0,"Wed","1",2017,"1","winter"
"371",2017-01-05,0,"Thu","1",2017,"1","winter"
"372",2017-01-06,0,"Fri","1",2017,"1","winter"
"373",2017-01-07,0,"Sat","1",2017,"1","winter"
"374",2017-01-08,0,"Sun","1",2017,"2","winter"
"375",2017-01-09,0,"Mon","1",2017,"2","winter"
"376",2017-01-10,0,"Tue","1",2017,"2","winter"
"377",2017-01-11,0,"Wed","1",2017,"2","winter"
"378",2017-01-12,1,"Thu","1",2017,"2","winter"
"379",2017-01-13,0,"Fri","1",2017,"2","winter"
"380",2017-01-14,1,"Sat","1",2017,"2","winter"
"381",2017-01-15,0,"Sun","1",2017,"3","winter"
"382",2017-01-16,1,"Mon","1",2017,"3","winter"
"383",2017-01-17,1,"Tue","1",2017,"3","winter"
"384",2017-01-18,1,"Wed","1",2017,"3","winter"
"385",2017-01-19,0,"Thu","1",2017,"3","winter"
"386",2017-01-20,2,"Fri","1",2017,"3","winter"
"387",2017-01-21,0,"Sat","1",2017,"3","winter"
"388",2017-01-22,0,"Sun","1",2017,"4","winter"
"389",2017-01-23,0,"Mon","1",2017,"4","winter"
"390",2017-01-24,0,"Tue","1",2017,"4","winter"
"391",2017-01-25,0,"Wed","1",2017,"4","winter"
"392",2017-01-26,0,"Thu","1",2017,"4","winter"
"393",2017-01-27,0,"Fri","1",2017,"4","winter"
"394",2017-01-28,1,"Sat","1",2017,"4","winter"
"395",2017-01-29,0,"Sun","1",2017,"5","winter"
"396",2017-01-30,0,"Mon","1",2017,"5","winter"
"397",2017-01-31,0,"Tue","1",2017,"5","winter"
"398",2017-02-01,0,"Wed","2",2017,"5","winter"
"399",2017-02-02,0,"Thu","2",2017,"5","winter"
"400",2017-02-03,0,"Fri","2",2017,"5","winter"
"401",2017-02-04,0,"Sat","2",2017,"5","winter"
"402",2017-02-05,0,"Sun","2",2017,"6","winter"
"403",2017-02-06,0,"Mon","2",2017,"6","winter"
"404",2017-02-07,0,"Tue","2",2017,"6","winter"
"405",2017-02-08,0,"Wed","2",2017,"6","winter"
"406",2017-02-09,0,"Thu","2",2017,"6","winter"
"407",2017-02-10,0,"Fri","2",2017,"6","winter"
"408",2017-02-11,0,"Sat","2",2017,"6","winter"
"409",2017-02-12,0,"Sun","2",2017,"7","winter"
"410",2017-02-13,0,"Mon","2",2017,"7","winter"
"411",2017-02-14,3,"Tue","2",2017,"7","winter"
"412",2017-02-15,0,"Wed","2",2017,"7","winter"
"413",2017-02-16,0,"Thu","2",2017,"7","winter"
"414",2017-02-17,1,"Fri","2",2017,"7","winter"
"415",2017-02-18,1,"Sat","2",2017,"7","winter"
"416",2017-02-19,1,"Sun","2",2017,"8","winter"
"417",2017-02-20,0,"Mon","2",2017,"8","winter"
"418",2017-02-21,1,"Tue","2",2017,"8","winter"
"419",2017-02-22,1,"Wed","2",2017,"8","winter"
"420",2017-02-23,0,"Thu","2",2017,"8","winter"
"421",2017-02-24,0,"Fri","2",2017,"8","winter"
"422",2017-02-25,1,"Sat","2",2017,"8","winter"
"423",2017-02-26,0,"Sun","2",2017,"9","winter"
"424",2017-02-27,1,"Mon","2",2017,"9","winter"
"425",2017-02-28,0,"Tue","2",2017,"9","winter"
"426",2017-03-01,1,"Wed","3",2017,"9","winter"
"427",2017-03-02,1,"Thu","3",2017,"9","winter"
"428",2017-03-03,1,"Fri","3",2017,"9","winter"
"429",2017-03-04,0,"Sat","3",2017,"9","winter"
"430",2017-03-05,0,"Sun","3",2017,"10","winter"
"431",2017-03-06,0,"Mon","3",2017,"10","winter"
"432",2017-03-07,0,"Tue","3",2017,"10","winter"
"433",2017-03-08,0,"Wed","3",2017,"10","winter"
"434",2017-03-09,0,"Thu","3",2017,"10","winter"
"435",2017-03-10,2,"Fri","3",2017,"10","winter"
